lon,lat
-100.3161126,25.6866142
NA,NA
-95.712891,37.09024
NA,NA
NA,NA
NA,NA
-83.860493,33.5967091
-100.0303723,21.9368487
NA,NA
-95.3900419,45.6502392
-74.0059728,40.7127753
-91.8318334,35.20105
-74.0059728,40.7127753
NA,NA
-105.2253316,20.653407
-66.58973,6.42375
NA,NA
NA,NA
NA,NA
-84.5120196,39.1031182
-97.1383744,49.895136
-73.5491361,52.9399159
NA,NA
-79.3831843,43.653226
NA,NA
-100.3161126,25.6866142
NA,NA
-82.907123,40.4172871
-73.8205567,45.4895636
NA,NA
NA,NA
NA,NA
-74.5402506,40.2677539
NA,NA
NA,NA
NA,NA
-105.2551187,54.5259614
NA,NA
-79.9958864,40.4406248
-105.8700901,34.5199402
NA,NA
8.227512,46.818188
-74.4056612,40.0583238
NA,NA
-77.0368707,38.9071923
NA,NA
NA,NA
NA,NA
-62.6510943,45.5776091
-100.3161126,25.6866142
NA,NA
133.775136,-25.274398
-118.2436849,34.0522342
-79.6903316,44.3893556
-79.7990319,43.3255196
-81.3304953,48.4758208
-79.3831843,43.653226
-108.4673051,25.5666987
NA,NA
-81.3792365,28.5383355
-79.6735841,41.6262707
-78.1677363,43.9593373
NA,NA
-94.5785667,39.0997265
-82.3248262,29.6516344
-79.6248197,43.6777176
NA,NA
-89.3985283,40.6331249
-79.3831843,43.653226
-98.7591311,20.1010608
-98.7591311,20.1010608
NA,NA
NA,NA
-114.0708459,51.0486151
-82.9987942,39.9611755
-80.1386547,26.8233946
-106.4245478,31.6903638
-118.2436849,34.0522342
-118.2436849,34.0522342
-98.9052192,20.2265612
NA,NA
-115.1398296,36.1699412
NA,NA
NA,NA
-89.4012302,43.0730517
NA,NA
-98.7623874,20.0910963
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
-109.7869527,44.2642998
-77.0368707,38.9071923
NA,NA
NA,NA
-118.2436849,34.0522342
-122.2711137,37.8043637
-106.346771,56.130366
NA,NA
-82.5436722,27.763383
-100.0170787,37.7527982
NA,NA
-97.4394777,35.2225668
-111.5621595,33.4043154
-94.1718542,36.082156
NA,NA
-92.9475061,17.989456
-110.9559192,29.0729673
NA,NA
NA,NA
-82.445154,38.4192496
-96.2368465,41.2831958
-99.0018424,22.0025712
NA,NA
NA,NA
-78.4678382,-0.1806532
-102.552784,23.634501
-71.0588801,42.3600825
-95.712891,37.09024
NA,NA
-95.712891,37.09024
NA,NA
NA,NA
NA,NA
NA,NA
-75.1652215,39.9525839
-106.346771,56.130366
-80.097349,43.432922
NA,NA
NA,NA
-99.133208,19.4326077
NA,NA
-99.3811844,20.7386043
-102.552784,23.634501
-74.4518188,40.4862157
-98.7623874,20.0910963
-81.5157535,27.6648274
-79.9958864,40.4406248
-119.4179324,36.778261
NA,NA
NA,NA
NA,NA
-86.155901,39.6072215
-124.4148241,51.6861249
-106.346771,56.130366
-106.346771,56.130366
NA,NA
-120.8958242,38.8375215
-99.0018424,22.0025712
-100.9855409,22.1564699
NA,NA
-77.0368707,38.9071923
NA,NA
NA,NA
NA,NA
-77.4360481,37.5407246
NA,NA
-93.0899578,44.9537029
NA,NA
NA,NA
NA,NA
-99.133208,19.4326077
-111.5621595,33.4043154
NA,NA
NA,NA
-94.6707917,38.9822282
-95.712891,37.09024
NA,NA
-95.712891,37.09024
NA,NA
-107.3940117,24.8090649
-104.0072348,19.1222634
-102.552784,23.634501
-114.771711,32.4518877
-88.1792361,41.5022339
NA,NA
-75.1652215,39.9525839
NA,NA
-72.9106202,41.5083668
-72.9106202,41.5083668
-106.346771,56.130366
-106.346771,56.130366
-72.9106202,41.5083668
NA,NA
NA,NA
-95.712891,37.09024
-121.4943996,38.5815719
-100.3161126,25.6866142
-94.5785667,39.0997265
-122.5210007,47.6248791
-99.0018424,22.0025712
NA,NA
-103.416501,20.6719563
-79.3831843,43.653226
-74.0059728,40.7127753
NA,NA
NA,NA
-118.2436849,34.0522342
-122.3320708,47.6062095
NA,NA
-93.2650108,44.977753
NA,NA
12.5683372,55.6760968
-77.0368707,38.9071923
8.675277,9.081999
NA,NA
-82.907123,40.4172871
-84.3879824,33.7489954
NA,NA
-95.712891,37.09024
-74.0059728,40.7127753
-82.0131924,39.9403453
-0.1277583,51.5073509
-102.552784,23.634501
-102.552784,23.634501
-75.1652215,39.9525839
NA,NA
NA,NA
-4.4213988,36.7212737
-96.9292104,42.7794417
43.679291,33.223191
-87.6297982,41.8781136
NA,NA
-88.0834059,42.0333607
NA,NA
-117.8311428,33.7174708
NA,NA
-82.4571776,27.950575
-98.7623874,20.0910963
-117.8311428,33.7174708
-88.296146,18.5001889
NA,NA
-86.1349019,40.2671941
-71.5723953,43.1938516
NA,NA
-95.712891,37.09024
-122.5994018,46.9391353
NA,NA
-93.2650108,44.977753
NA,NA
NA,NA
-87.6297982,41.8781136
NA,NA
NA,NA
-73.567256,45.5016889
NA,NA
NA,NA
-95.3698028,29.7604267
-85.3096801,35.0456297
-74.0059728,40.7127753
NA,NA
19.5033041,47.162494
19.5033041,47.162494
NA,NA
NA,NA
-88.1227199,42.0629915
12.56738,41.87194
NA,NA
-99.133208,19.4326077
-94.1132306,36.1671435
-99.133208,19.4326077
-3.1672365,55.9572641
-77.0368707,38.9071923
-81.5157535,27.6648274
NA,NA
-95.712891,37.09024
NA,NA
-75.1652215,39.9525839
-90.1994042,38.6270025
NA,NA
-79.6903316,44.3893556
0.290472,50.768035
-118.2436849,34.0522342
-115.1398296,36.1699412
0.290472,50.768035
NA,NA
NA,NA
-95.712891,37.09024
-115.1398296,36.1699412
20.7041995,49.6140437
NA,NA
NA,NA
NA,NA
-104.990251,39.7392358
-111.9400054,33.4255104
NA,NA
2.2544335,41.9304373
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
-96.7969879,32.7766642
NA,NA
-122.3320708,47.6062095
-105.9891718,35.6595274
-74.0059728,40.7127753
-110.9559192,29.0729673
-88.4791376,19.1817393
-99.9018131,31.9685988
-98.2062727,19.0414398
NA,NA
NA,NA
-118.2436849,34.0522342
NA,NA
-69.9312117,18.4860575
NA,NA
NA,NA
-0.1923088,51.4925144
NA,NA
-87.6297982,41.8781136
-90.5116678,41.5075765
77.2090212,28.6139391
-110.3308814,29.2972247
NA,NA
-94.6707917,38.9822282
NA,NA
-92.6189273,17.8409173
-118.2436849,34.0522342
NA,NA
-117.8311428,33.7174708
NA,NA
NA,NA
-110.5599556,45.6614105
-90.0489801,35.1495343
-73.5491361,52.9399159
NA,NA
NA,NA
-99.133208,19.4326077
NA,NA
-70.6930568,19.4791963
NA,NA
-81.5157535,27.6648274
NA,NA
-86.80249,33.5206608
-122.2913078,37.8271784
NA,NA
NA,NA
-119.5588208,49.9473663
-117.8311428,33.7174708
-97.7430608,30.267153
-79.0192997,35.7595731
NA,NA
-80.8431267,35.2270869
-117.3961564,33.9533487
NA,NA
-89.3985283,40.6331249
-102.552784,23.634501
-74.0059728,40.7127753
-66.58973,6.42375
-98.8362755,24.26694
NA,NA
-99.3811844,20.7386043
-87.9497102,42.9572074
NA,NA
-71.0588801,42.3600825
NA,NA
-86.158068,39.768403
